City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
324,Ziro,IN,27.6333,93.8333,44.33,51,0,2.86,clear sky
325,Colorado Springs,US,38.8339,-104.8214,41.0,80,90,0.22,overcast clouds
326,Caledon,ZA,-34.23,19.4265,62.01,93,14,6.67,few clouds
327,Elliot Lake,CA,46.3834,-82.6331,35.6,69,90,10.36,overcast clouds
328,Arivonimamo,MG,-19.0167,47.1833,66.2,88,75,4.61,broken clouds
329,Saint Anthony,US,45.0205,-93.218,48.2,46,1,4.61,clear sky
330,Sur,OM,22.5667,59.5289,78.12,54,95,2.93,overcast clouds
331,Wahiawa,US,21.5028,-158.0236,80.6,61,40,6.91,light rain
332,Jiayuguan,CN,39.8167,98.3,44.38,25,5,3.0,clear sky
333,Ghanzi,BW,-21.5667,21.7833,68.14,74,23,4.12,few clouds
334,Saint-Pierre,RE,-21.3393,55.4781,77.0,73,0,5.75,clear sky
335,Tevaitoa,PF,-16.7833,-151.5,82.87,73,7,22.17,light rain
336,San Policarpo,PH,12.1791,125.5072,81.07,80,79,11.99,broken clouds
337,Guarapari,BR,-20.6667,-40.4975,78.8,78,0,5.75,clear sky
338,Gamba,GA,-2.65,10.0,77.61,82,97,4.52,overcast clouds
339,Carutapera,BR,-1.195,-46.02,73.24,95,100,1.81,overcast clouds
340,Sola,VU,-13.8833,167.55,82.45,75,62,11.99,broken clouds
341,Buy,RU,58.4786,41.53,26.37,99,93,3.06,overcast clouds
342,Aykhal,RU,66.0,111.5,10.81,94,100,6.89,overcast clouds
343,La Libertad,EC,-2.2333,-80.9,78.8,78,0,13.8,clear sky
